u 的
lhem 𦰏
laut 𦰡
cds 𧊅
cdsl 𧊅
cra 𧋡
crag 𧋡
cqs 𧋱
cqsl 𧋱
nlnc 𧏾
ctq 𧒽
ctqt 𧒽
cpx2 𧗩
tyz 𧝁
tyzv 𧝁
ttd 𧟄
ttdf 𧟄
pkm 𧿹
puf 𨃅
pufa 𨃅
ymg 𨐈
bduc 𨓈
cte2 𨙸
klt 𨚕
klte 𨚕
yvt 𨛍
yvte 𨛍
qqut 𨟠
vfpz 𨭉
zzzz 𨰻
zfk 𨱇
zfki 𨱇
ziit 𨱍
zlj 𨱏
zljd 𨱏
znh 𨱑
zhy 𨱔
zhyk 𨱔
tppe2 𨺙
tbq 𨻧
tbqt 𨻧
toj 𩉜
qle 𩠍
qlet 𩠍
wwb 𩽾
wwbn 𩽾
wwpe 𩾃
wxbk 𩾌
svxn 𪉈
ahyt 𪎊
wrus 𪞝
aosl 𪟝
qsqs2 𪟧
dybj 𪠽
gur 𪣝
gurq 𪣝
gpb 𪣻
gpbn 𪣻
gzj 𪤗
gzje 𪤗
bwa 𪥰
bwad 𪥰
fpco 𪨇
cjj 𪨊
cjjr 𪨊
cwt 𪨗
cwtp 𪨗
vyq 𪨰
vmy 𪨶
vmyc 𪨶
vnmm 𪩘
dgv 𪯡
dgvw 𪯡
njjr 𪻐
ewam 𪾔
qej 𪾢
mzi 𪿖
mziy 𪿖
ixn2 𫁡
imu 𫄤
imuc 𫄤
ifv 𫄥
ifvv 𫄥
its 𫄧
itsu 𫄧
ibnr 𫄨
ibd 𫄶
ibdc 𫄶
ixh 𫄷
ixhx 𫄷
ilp 𫄸
ilph 𫄸
lis 𫇭
lisi 𫇭
lywr2 𫉁
lsq 𫉄
lsqo 𫉄
cbk 𫊻
cbkc 𫊻
taob 𫌀
xye 𫌨
xyej 𫌨
sey 𫍙
see 𫍟
seey 𫍟
spf 𫍢
spfp 𫍢
smfd 𫍣
snfd 𫍯
spg 𫍲
spgr 𫍲
syft 𫍽
yfp 𫐄
yfpe 𫐄
yppe 𫐐
yit 𫐓
yite 𫐓
dte2 𫑡
zhf 𫓧
zjjr2 𫓩
zggt 𫓯
zdv 𫓶
zdvy 𫓶
zzhb 𫓹
ztp 𫔍
ztpq 𫔍
zit 𫔎
zitd 𫔎
aoe 𫔶
aoem 𫔶
bco 𫖃
bcob 𫖃
glt 𫖔
gltt 𫖔
xkl 𫖘
xklc 𫖘
vvw 𫖮
vvwy 𫖮
pwww 𫖯
btdw 𫖳
nyfw 𫖹
qxs 𫗧
qcv 𫗫
qcvy 𫗫
qtk 𫗰
qtku 𫗰
qzr 𫗴
qzrf 𫗴
nvw2 𫘜
nnjr2 𫘝
nko 𫘤
nkos 𫘤
nnaf 𫘦
nbks2 𫘧
nots2 𫘨
nxu 𫘪
nxuy 𫘪
nyi 𫘬
nyim 𫘬
wtf2 𫚒
wrdk2 𫚔
wpf 𫚕
wpfr 𫚕
svw 𫚖
svwv 𫚖
wops 𫚭
xnj 𫛞
xnjr 𫛞
wbx 𫛩
wbxn 𫛩
mnx 𫛭
mnxn 𫛭
xsx 𫛶
xsxn 𫛶
lmb2 𫜨
apl 𫜩
aplc 𫜩
nlml 𫞩
igy 𫟅
igyx 𫟅
yhj 𫟦
yhju 𫟦
zlh 𫟹
zlhb 𫟹
zmu 𫟼
zmuc 𫟼
nziy2 𫠊
lpp 𫠜
lppe 𫠜
jhq 𫢸
jhqn 𫢸
jyw 𫣊
jywr 𫣊
ydm 𫧯
ydmj 𫧯
djjr 𫩛
dahb 𫪁
dnbe 𫪘
dfch 𫫇
gnb 𫭟
gnbi 𫭟
gjl 𫭢
gpf 𫭪
gpfp 𫭪
glws 𫭼
ghqn2 𫮃
brug2 𫰛
bjv 𫰡
bjvn 𫰡
bjkf 𫰰
hhdp2 𫲦
chtp 𫵘
vxs 𫵷
vxsl 𫵷
vfob2 𫵼
vlwr 𫶇
xze 𫷷
xzeq 𫷷
bnbi2 𫸩
uxbj 𫼝
ogw 𬀩
oej 𬀪
vbt 𬂁
vbtd 𬂁
vhho 𬂉
ehh 𬂩
ehhb 𬂩
exno 𬃊
gwfr7 𬆮
kfpd 𬇕
kob2 𬇙
kfmj 𬇞
krn 𬇹
krni 𬇹
cnb 𬉼
cnbi 𬉼
cbkc2 𬊈
chqn2 𬊤
cpr 𬊶
cpra 𬊶
ljdk 𬌗
nby 𬍛
nbyx 𬍛
kaei 𬍡
nbkc 𬍤
nlw 𬎆
nlwi 𬎆
qaor 𬑗
kwms 𬒈
msv 𬒔
msvy 𬒔
mpr 𬒗
mpre 𬒗
ruob 𬕂
pai 𬖋
pok 𬖞
pokc 𬖞
ioc 𬘓
iwp 𬘘
iwpe 𬘘
irmd 𬘡
img2 𬘢
itgu2 𬘩
iwm 𬘫
iwmp 𬘫
iavy2 𬘬
iee 𬘭
ieem 𬘭
ighi 𬘯
ihff 𬘵
iwfh 𬙂
itpq 𬙆
ipgt 𬙊
itdf2 𬙋
lad 𬜬
ladk 𬜬
lml2 𬜯
lssw 𬞟
lnxn 𬟁
cryx2 𬟽
afde 𬢊
pwwe 𬢋
pgs 𬣀
pgsy 𬣀
sfn 𬣙
sfns 𬣙
swfi 𬣞
sfp 𬣡
sfpg 𬣡
sig 𬣳
svg 𬤇
svgt 𬤇
sot 𬤊
sots 𬤊
snq 𬤝
snqh 𬤝
sdde 𬤨
pal 𬧀
palk 𬧀
ybs 𬨂
yhy 𬨎
yhyy 𬨎
bkte 𬩽
bote 𬪍
ywt 𬪩
ywti 𬪩
zpi 𬬩
zvvb 𬬫
zjl 𬬭
zpc 𬬮
zjz 𬬰
zjzj 𬬰
ztj 𬬱
zei 𬬸
zeid 𬬸
zog 𬬹
zogs 𬬹
zfq 𬬺
zyc 𬬻
zycs 𬬻
zpdk 𬬿
zkm 𬭁
zeg 𬭊
zegt 𬭊
zoeg 𬭍
zwn 𬭎
zwnk 𬭎
zghi 𬭚
zkr 𬭛
zkrp 𬭛
zuk 𬭣
zuks 𬭣
zjno 𬭤
ztku 𬭨
zhk 𬭩
zhkz 𬭩
zaa 𬭬
zaab 𬭬
zfh 𬭯
zfhp 𬭯
zhdk 𬭳
zph 𬭶
zpl 𬭸
zplv 𬭸
zhj 𬭼
zhju 𬭼
ajdk2 𬮤
avg 𬮱
avgt 𬮱
axy2 𬮴
tvvj 𬮿
tqq2 𬯀
tcob2 𬯎
dwy 𬱖
xxzw 𬱟
qwv 𬲱
qwvb 𬲱
qzh 𬲽
qzhb 𬲽
qwf 𬳇
qwff 𬳇
ncf 𬳵
ncfi 𬳵
nmdk 𬳶
nqpe 𬳽
njx 𬳿
njxh 𬳿
nrf3 𬴂
nam 𬴃
nams 𬴃
nplv2 𬴊
wgj 𬶋
wwv 𬶍
wwvb 𬶍
wxx 𬶏
wxxz 𬶏
wpw 𬶐
wpww 𬶐
wxp 𬶟
wxpd 𬶟
wxhb 𬶠
idw 𬶨
idwv 𬶨
whfs2 𬶭
whd 𬶮
whdk 𬶮
nxn3 𬷕
xbx 𬸅
xbxn 𬸅
nobx 𬸘
msmx 𬸚
wqhx2 𬸣
leox 𬸦
tpqx 𬸪
ljpd2 𬹼
lmzk2 𬺈
leet 𬺓
isq 𭄹
isqs 𭄹
gjj 𭎂
gjjr 𭎂
isb 𭑵
isbn 𭑵
bxg 𭚦
unq 𭣇
unqw 𭣇
kuw 𭱊
kuwy 𭱊
rax 𮆏
raxh 𮆏
iml 𮉧
idmj 𮉨
iqr 𮉪
iqry 𮉪
ixbn 𮉫
izjn 𮉬
ihf 𮉯
ihfs 𮉯
loob 𮐨
clz 𮔂
clzj 𮔂
cxo 𮔅
cxob 𮔅
cml 𮔊
tgdw 𮖱
stx 𮙊
stxh 𮙊
snas 𮙋
yyg 𮝴
yle 𮝵
yyf 𮝹
yyft 𮝹
zug2 𮣲
znks2 𮣳
zts 𮣴
ztsu 𮣴
aht 𮤲
ahtp 𮤲
gpc2 𮧴
gjv 𮧵
gjvn 𮧵
qon 𮩝
qonf 𮩝
qgw 𮩞
qgwz 𮩞
nghh 𮪥
wvl 𮬝
wvlx 𮬝
wfg 𮬡
vjax 𮭦
owbx 𮭨
lzk2 𮯙
jybj 𰁸
javy2 𰂎
wjzj2 𰃷
drp 𰇣
drpg 𰇣
lwbn 𰌀
byo 𰌂
byob 𰌂
crus 𰞇
caxp 𰟘
mjao 𰡘
qsn 𰣊
qsnr 𰣊
fotw2 𰨖
plw 𰪿
plws 𰪿
ikm 𰬪
ikme 𰬪
pmfo 𰯼
sxh2 𰵝
sik 𰵞
siks 𰵞
ssg 𰵤
sab 𰵦
sabi 𰵦
sghx 𰵧
snf 𰵩
syfr2 𰵴
slv 𰵼
slve 𰵼
wfob2 𰷥
ydk2 𰹲
esi 𰻝
esiu 𰻝
zfns2 𰽗
zxg 𰽚
zmm 𰽴
zmma 𰽴
zhl 𰽼
zhlc 𰽼
zgy 𰽽
zpra 𰾫
wbw 𱂨
wbwy 𱂨
nwy2 𱂩
nfdw 𱂱
qea 𱃱
qeai 𱃱
qas2 𱃺
nqe2 𱅋
wfr 𱇑
wfrj 𱇑
wvvb 𱇒
wsr 𱇣
wsri 𱇣
bdw 𱇫
bdwv 𱇫
jghw 𱇱
wxpj 𱇻
wqvy 𱈃
wga 𱈌
wgag 𱈌
ybx 𱉻
ybxn 𱉻
eux 𱊊
euxn 𱊊
ccx 𱊌
ccxn 𱊌
yncx 𱊬
qqqx 𱊳
lgj2 𱌮
jtg2 𱎼
wdk2 𱏿
xlw 𱑞
xlwr 𱑞
geg 𱖇
gtmd3 𱖎
gfpg2 𱖒
giu 𱗩
giuc 𱗩
ybm2 𱚦
vqp 𱛥
vqpe 𱛥
thx 𱞍
sii 𱟛
siih 𱟛
upu2 𱟻
eeee 𱤏
cpu 𱫉
mlj 𱮒
mlje 𱮒
ndp 𱮸
ndpe 𱮸
nwn 𱯄
nwni 𱯄
nzz 𱯍
nzzk 𱯍
lqss 𱰛
qsu 𱰾
qsun 𱰾
mmid 𱳪
rlws 𱸇
rip 𱸥
ripw 𱸥
pze 𱹍
pzem 𱹍
cvvv 𲀃
suub 𲂎
azs 𲄗
zpc2 𲄚
zxn 𲈗
zxns 𲈗
aks3 𲈵
axbd 𲉅
qpdk 𲋤
fsx 𲍭
fsxn 𲍭
unid 的
fi2 一
ots 是
cb2 不
rl2 了
nggt2 在
tupg 我
jr2 人
jey 他
vuc4 这
nvy2 有
jgs2 个
md2 大
yfi 上
dgs 中
ahb2 来
gey 地
xdk 和
shdp 说
isid 为
jam 们
ypd2 到
jxyx 你
gyoy 就
ey2 也
vjr 以
rni 国
rnid 国
aute 那
vbn2 要
okc 时
smk 出
gqm 着
zk2 可
houc 道
rkc 对
jby 会
le2 而
wofk 得
fyb 下
kvvv 能
kuc 过
fns 于
evk 年
xfdk 后
sri 发
srid 发
qote 都
krs 没
cuc2 还
mtj2 所
gks2 去
uqm 看
fdbv 事
bdk 如
jwa 作
llx 多
px2 行
dhb2 只
bhi 好
nae2 成
wjs 家
fmd2 天
bey2 她
vmc 然
vmch 然
ybj 当
pvj 起
xdg 种
xdgs 种
irug 经
nej 现
jofi 但
kgk 法
kgks 法
mfd 同
mfdk 同
tks 么
quc2 进
kwhi 学
zhb 其
hvpd 前
inw 主
jjr2 从
bsl2 动
hpd2 分
flc 开
efi 本
rmd 因
wts2 定
idt 部
idte 部
fafi 与
wwm 实
wwmd 实
xhx 意
odk 知
svb2 此
rtf2 第
wig 很
trp3 被
wvb 它
ovy 明
qor2 者
hks 公
eoj 机
tmdk 向
oqr 最
oqry 最
jfd 使
jfdb 使
jnw 全
ydc 点
ydch 点
havy 情
hlc 并
rdk 回
rgk 等
rgkc 等
wmd 头
gcs2 声
xkf 应
xkfi 应
aor 间
sas 话
ijd 给
ijdk 给
gmd2 美
nqhb 真
mjr 内
xpd2 利
uad 打
iet 新
ietj 新
jil 位
sdk 加
qpe 先
qgk 特
qgkc2 特
ntp 才
mid2 太
jsy 信
xuyx 原
fob 更
fobi 更
ldk 名
vvb2 比
jpi2 代
jtgs 任
weq 次
lae 世
uot 提
uots 提
jchp 做
qig 眼
ktu 通
ktuc 通
nfdh 感
dsp 别
dspd 别
ytp 少
hyb 处
ehb2 平
xtpq 解
jzk 何
xry 反
zcr 变
zcry 变
hdhx2 总
sjr 认
hem 条
wbn 安
kas 活
pbh 数
pbhp 数
htp2 必
uvo 指
uvor 指
bpc 张
uzry 报
dob2 员
ibi 义
lhp2 放
oae2 电
buy 建
jqn 件
gvb2 死
sen 许
sens 许
otw 题
otwy 题
gaes 场
eug2 空
sns 计
whx 怎
wny 德
wnyh 德
bdcc 强
hsl 务
aag 书
aagi 书
zrj 市
pfr 师
pfrj 师
izj2 即
cpe 克
lwr 带
lwrj 带
nbi 区
opd2 则
abi 交
fgt 社
avb 北
clt 展
clti 展
jma 传
jmai 传
yuc2 连
dij 叫
kkd 治
kkdk 治
fpd 万
qdk 告
xjd 科
qhx2 思
muc2 达
yma 转
ymai 转
fvn 望
fvnw 望
suc2 边
hnj 快
hnjr 快
xmb2 色
skh 该
ery2 权
uil 拉
qry 取
ihp2 收
eem 林
eig 根
ecj 极
fkid 求
ekm2 每
ucc 据
uccg 据
mxt 确
mxty 确
dcc2 虽
thf2 失
esg2 格
mpu 远
mpuc 远
shb2 办
vhp2 改
lmmd 英
xbv 争
dnm2 吗
twm 院
twmp 院
yru 轻
yrug 轻
ylx 罗
fub 百
zbmv 离
ljv 花
ljvb 花
tuc 近
ifq2 组
kbo 流
kboc 流
vkc2 导
ons 早
upg2 找
klm 满
klml2 满
vzry 服
wki 官
ywn 爱
ywnr 爱
ogye 影
tnvu 随
dea 吃
deai 吃
imhd 商
sfs 证
sfsi 证
hqns 单
pnu 越
ngh 存
nghi 存
umk2 击
pav 精
pavy 精
kdk2 台
uem 集
rry 双
hus 半
hryo 曾
tzk 阿
lks 落
lksg 落
wfa 写
wfaf 写
jyp 倒
jypd 倒
ahp 敌
nonv 朝
kxt 派
kxti 派
hoi 首
fej 视
wdp 况
wdpe 况
scc 谈
scch 谈
dbi 史
ewy2 须
ddmd 器
bqt 留
uui 推
kin 注
kinw 注
swd 语
swdk 语
pris 紧
dfae 号
uhp2 攻
mai 专
maid 专
qfa 考
qfae 考
unw 皇
ols 星
vpd3 刘
jry 仅
dtz 啊
dtzk 啊
tob 费
jvn2 仍
zem 某
gpd2 列
sqj 讲
mrp3 破
wsg 客
lee 施
leey 施
lzj2 节
zfp 钱
zfpg 钱
iui 维
kzk 河
ppd2 划
yhp2 致
hmu 送
hmuc 送
gll 够
gllx 够
ufr 段
ufrs 段
btdg 群
mcc2 独
iqt 细
ghx2 志
ukic2 热
uwy2 项
pjd 料
ctd 属
ctdv 属
njkf 验
gxp 境
gxpe 境
ipa 继
ipae 继
zlor2 错
yem 采
cdk 否
vrs 股
atr 帮
atrj 帮
nry2 友
zth 铁
zthf 铁
oxy 暗
nug2 左
ziwn 率
akts 承
spug 试
lin 药
lini 药
xid3 久
djdk 哈
iwy 预
kpd4 刻
stid 诉
raor 简
gug 差
vlc 异
lghs 警
urf 排
xob 负
kyy 酒
ely2 穿
ffd 福
ffdq 福
hcb 怀
req2 欢
ncb 环
vgkz 脚
vok 疑
vokt 疑
ynq 置
ynqf 置
ndk2 右
cby2 层
ooc 州
aqe 闻
nid3 玉
zzk2 哥
eaes 杨
dpe 兄
gnj 块
gnjr 块
yvj 配
bcg 姑
bii 娘
biig 娘
lons 草
bfq 姐
nnk2 巨
wpe 免
gip 养
gipd 养
xzw 顾
xzwy 顾
jhp 份
jhpd 份
uxm 换
uxmm 换
hzd 登
mzj2 犯
xxz 危
xxzj 危
wog 审
wogs 审
uyo 掉
uyon 掉
lvhp 散
zag2 魔
iks 永
szkc 谢
pwwu 逃
xvs 岛
cob2 贵
owy2 顺
epb 楼
epbn2 楼
qvu 遇
qvuc 遇
iig 良
goj 亮
ajr2 闪
fbj2 互
ozd 短
txb 隐
txbh 隐
jkc 付
ohp 败
taw 朱
anj 缺
anjr 缺
daw 味
kem2 杂
tpqz 翻
tbj 雪
gfe 款
gfeq 款
mmd2 央
axr 版
axry 版
npnw 班
rcg2 固
bbj 妇
crm 烟
crmd 烟
kop 测
kopd 测
rvm 笔
qxry2 饭
nlc2 弄
fhx 忘
bzu 迎
bzuc 迎
vfs3 票
bks4 录
cwa2 炸
iam 盘
wqhw 寒
soc 训
hhz 卷
hhzj 卷
uty 拥
arl 疗
qav 睛
qavy 睛
xem2 床
lpr 蓝
lpra 蓝
bwb 弱
bwbw 弱
yjl 轮
ens 午
etrh 窗
nku 雄
nkui 雄
yol 醒
yols 醒
cad2 灯
brs 努
brsl 努
lti 萨
ltix 萨
baw 妹
rhx 悲
wle 宽
wlej 宽
moy 犹
zns 针
mkc 夺
ebm 柳
lui2 雅
bob 贸
pqr 趣
pqry 趣
zus 摩
cqm 眉
tti 袭
knk2 汇
udk2 售
kqm 泪
wrpd 彻
ulom 摸
azr 闹
azrj 闹
kvq 汽
mvy 肩
cvm2 尾
xavp 剩
hjd 恰
hjdk 恰
bvn 奶
mdk 启
ixew 颜
zqlh 翼
rxn2 鸡
zoe 躲
zoem2 躲
omm 映
ommd 映
wch 灾
hwb 冬
mnm2 码
rsl 劝
ptm 跃
ptmd 跃
ouc 巡
teq2 欣
tcc2 蛋
dgt 吐
aem 闲
itp 矛
kfg2 滑
ofc2 晨
ykh 酸
ykhh 酸
wgyx2 凉
dzm 嘛
plc 戒
lrf 菲
grq 餐
grqs 餐
pko 踏
pkor 踏
oem3 朵
tdy 袖
sby 尝
yzjn 醉
bxyx2 弥
drmh 嗯
gzh 堪
gzha 堪
roq 帽
roqm 帽
dxm 唤
dxmm 唤
pxbd 糖
eybj 档
qbm 聊
edm 窝
edmj 窝
ujdk 拾
nzb 璃
nzbv 璃
pon 踢
pone 踢
lbn 耍
sxn 鸭
qwad3 瞎
cxpj 焰
tqem2 裹
ftj 祈
mwy2 硕
vci2 肢
wzr 凛
wzrf2 凛
dwa2 咋
korg 汩
korm 汨
zybp 钋
bksj 隶
bksj2 彔
ruij 帷
gchy 羔
dmbk 邑
ambl 耙
jadr 仃
nidu 戍
afim 闩
zuiv 翟
tvys 胥
uvni 隽
xzjl 鏖
yyii 臸
oegr 旰
mxgq 犷
nvys 𠕇
nidw 玊
kors 沓
aaee 乜
rfil 孑
uksg 汞
nrjk 匝
jksu 汆
jksr 氽
korj 旮
nmgw 珖
qadt 町
qade 耵
bgsg 弔
xbjd 刍
eyim 桎
megq 犴
xojl 麂
xojn 凫
vrfm 毴
pfqz 趄
msgs 硌
ftew 邙
kwyh 颏
nsgw 珞
kvss 汜
ilfo 舫
wgyc 徉
eorm 東
suig 雒
vkhy 胲
vsjy 胛
grsy 羖
cyic 蛭
qads 饤
fsis 祉
mlyq 犽
wrfv 鲱
fcgs 祜
nucs 辻
wlfv 鲂
qvmn 牦
qvmm 眊
rgwj 帏
htfx 怫
vgjs 岣
kdms 渑
ccgc 蛄
muis 碓
vpdy 刖
lfqc 苴
azjb 疖
tlfv 雱
cgyc 蛘
ulqs 扦
lucy 迓
qhpt 畋
ycgs 罟
tige 裉
cdyc 蚰
ysgc 辂
efsm 柰
ycgy 酤
mwas 砟
cmbh 𤆵
cmbc 蚆
ctyh 㶲
qcgm 䀦
dgjk 呴
xksg 広
uwas 拃
mzks 砢
eqmx 窅
phpm 敉
qsgs 饹
anug 魆
wdyv 鲉
wrpv 鲏
gwvy 鲝
tqqe 𬯀
lzkc 𮯙
zcbj 钚
wlev 鲕
anug2 魆
mqts 鿬
vbms 峁
reju 笕
zqtj 钿
zmbj 钯
yegy 酐
zubv 習
dslk 叻
xteg 邝
xtel 鄜
iugo 舡
ltef 邡
zesj 钐
ahil 耔
vpmy 脒
czkh 炣
wuca 迮
zilj 𫟷
zilv 翋
nxsw 㻋
vfsy 䏡
qidj 丼
wvfo 微
fdvo 赢
wvfi 徽
fdvb 嬴
wvfn 徵
fdvg 羸
gwfb 彀
gwfx 觳
gwfo 殼
fdvc 蠃
gwfe 榖
gwfx2 穀
gwfi 縠
fdvq 臝
gwfx3 𬆮
kpry 沒
shdp2 說
svms 砦
yfdu 還
cgk 對
cgkc 對
jrc 個
jrcg 個
ejjr2 來
dnm3 嗎
yta 爲
ytac 爲
jryo 會
pfa 與
pfah 與
ijdk2 給
suc3 這
pydk2 點
wjj 從
wjjs 從
avk 將
avkc 將
ogk 時
ogkc 時
fdu 過
fduc 過
ziy2 麼
yob2 買
std 讓
stdf 讓
dfaz 號
jam2 𱏱
jam3 們
hcy 並
sas2 話
savy2 請
zpp 錢
zppg 錢
afl 開
aflc 開
sui3 誰
sqt 當
adk2 問
ute2 邛
skh2 該
dpp 別
dppd 別
tdl 裏
hzj2 卻
mju2 內
wpn 寫
wpnc 寫
lwrj2 帶
gyob 賣
owyc3 暈
mhvp 剛
elfc 無
uxmm2 換
ywh 愛
ywhh 愛
qnnh 聽
dapm 喫
ggkr 幫
pbb 學
pbbh 學
itr 總
itrh 總
opd3 則
bpc2 張
ej2 見
yuc3 連
ycc 車
nddd2 區
eiii 機
lqv 萬
lqvr 萬
uuc2 進
pc2 長
sqf 講
sqfg 講
ber 殺
bers 殺
ifq3 組
zlor3 錯
imhf 網
agti2 裝
rdn 圖
rdnd 圖
xjuh 應
zwy 頭
bkcc 強
pmw 類
pmwy 類
bor2 書
nsnx2 辦
icj2 級
jhl 併
jhlc 併
ml2 兩
ynqk 轉
gag2 塊
iuks2 線
nhh 黃
ldhu 難
jnqk 傳
egi 樣
egik 樣
am2 門
llgj 夠
oel 邊
oelu 邊
cob3 貴
xym 稱
xymg 稱
zho 處
zhoj 處
vvlu 選
scch2 談
btdg2 羣
uzjs 據
kobh 數
ifou 經
siih2 變
iug3 紅
teor 陳
eko 樓
ekob 樓
sgyo 讀
awy2 頂
ykm 亂
ykma 亂
jghe2 條
nmm 馬
gdtu 遠
ddqn 單
ghgc 熱
otc 風
otcc 風
klml3 滿
wswy2 額
kbpc2 漲
aiil 關
bzp 劉
bzpd 劉
inid2 約
cff 飛
xldl 種
ggz 報
ggzr 報
qxry3 飯
ohbc2 賺
tdl2 裡
aor2 間
oydk2 貼
ira 盤
iram 盤
thjs 隊
eofe 楊
rpdf 國
snfs 歲
tob2 費
gty 壞
gtyk 壞
tl2 龍
zbmu 離
bnm2 媽
ggu 達
gguc 達
lds 動
ldsl 動
vpm3 氣
lywl 夢
bqfi 畫
xn2 鳥
siic 蠻
wv2 魚
ynm2 罵
znqh2 鎮
ixhb 練
jxhx2 億
mlqt2 貓
qtup2 餓
sqem2 課
yiu 羅
yiui 羅
qfy 縣
qfyi 縣
lqra 藍
jvob2 貨
dini2 喲
ujm 搶
ujmd 搶
yabi2 較
vjd 臉
vjdj 臉
dam 吳
damd 吳
gcrq 聲
nej2 現
lflu 華
giii 養
rnq 團
rnqk 團
tnf 補
uiie 樂
cwy2 煩
fchx2 惡
ieej 親
toa 電
toae 電
smgd2 調
spug2 試
chr 層
chro 層
szkc2 謝
svj2 記
pyv 趙
pyvy 趙
sjl2 論
tkr 帥
tkrj 帥
tofe 陽
ehkc 樹
wyc2 軍
jml2 倆
tmt 奧
tmtm 奧
gofe 場
xyc3 庫
eldu 權
tnuu 隨
jvob3 價
jeo 傷
jeoe 傷
wnao 寶
vhzj 腳
fyzd 體
nks3 丟
jddp 劍
hti 孫
htis 孫
cghb 業
lup 舊
lupj 舊
ewy3 須
safd2 詞
shz 證
shzd 證
znp 鐵
znpn 鐵
riz 節
rizj 節
yfo 輕
yfou 輕
yjvp2 輸
nmic3 騙
sens2 許
tkfr2 師
fdvi6 贏
caxh 爛
sgkc2 詩
avyb 靜
iif 斷
iift 斷
kofe 湯
cggp 燒
zum 虧
zuma 虧
ibks2 綠
avkm 獎
qri 緊
qris 緊
uwy3 項
bca 盡
bcam 盡
rjdj 簽
lwxh 蘇
ifsc2 純
otwy2 題
jzr 鬧
jzrj 鬧
zzp 戲
zzpg 戲
etmd 橋
chz 燈
chzd 燈
cky 屬
ckyc 屬
ezb 窮
ezbg 窮
nong2 韓
ipd3 刪
lgk 蓋
lgka 蓋
lax 蘭
laxh 蘭
fcy2 亞
xovg 壓
dob3 員
wqho2 賽
ury2 隻
qq2 齊
ddqp 戰
mnm3 碼
zig2 銀
dcu 雖
dcui 雖
jkwy2 領
sph 黨
rgd 園
rgdt 園
aem2 牀
iii 鄉
iiit 鄉
opns2 賊
hymt 鄭
srs2 設
xnh2 廣
tksr 歸
kthd 滾
poeg 趕
mlu 獲
mlur 獲
ibs2 紙
pbbe 覺
hkk 慘
hkke 慘
sad2 訂
vhaf2 峯
kldh 漢
igdk2 結
swdk2 語
ajr3 閃
wha 寧
whaa 寧
mh2 戶
ejmd 槍
aot 瘋
aotc 瘋
skos2 誒
yeq2 軟
fvf 麗
fvfx 麗
pmfh 興
ldde 觀
qrpt 製
zbuy2 鍵
qjxh2 餘
dob4 唄
ccw 榮
ccwe 榮
rbv 筆
dgcc 嚇
wlei 寬
kopd2 測
lags 莊
xuyw 願
ofv 曬
ofvx 曬
amq2 狀
iqt2 細
qiil 聯
avy2 閒
wko 實
wkob 實
xvs2 島
nyft 環
tatk 衆
zyob2 鎖
hxxo2 懶
evf 標
evfs 標
ndde2 歐
knfc 滅
owy3 順
muw 顧
muwy 顧
ahx2 悶
krja 溫
yjl2 輪
wyuc2 運
wnh 憑
wnhx 憑
uos 拋
uosl 拋
imic2 編
rdob3 圓
esqt 檔
agj 牆
agjd 牆
xob2 負
wdtd 宮
uvot 擬
ogg 曉
oggp 曉
xyuh 穩
jmdp 創
fou 勁
fous 勁
dkob 嘍
uybv 掙
ffb 爾
vhdp2 脫
nqkk 專
xhdp2 稅
fej2 視
zbk 錄
zbks 錄
qqf 餵
qqft 餵
vxl 產
vxls 產
iiia 繼
jgw2 偉
enh2 橫
ybv2 爭
qdn 聖
qdnw 聖
hzt 鄧
hzte 鄧
bdd 彈
bddn 彈
kyb 淨
kybv 淨
knfd 減
iis2 絲
gtu 義
gtup 義
aqe2 聞
sns2 計
iiix 響
wnm2 馮
lavk 蔣
zmhv 鋼
zldl2 鍾
zjju 雜
ejjh 麥
cgmk2 屆
fhr 幣
fhrj 幣
ipm 絕
ipmb 絕
iui2 維
sehb2 評
qwki2 館
ddx 嚴
ddxh 嚴
mjjr2 夾
xqn 廳
xqnh 廳
mxnh 礦
spih 認
wor2 魯
zjp 劇
zjpd 劇
bud 尋
budk 尋
uqq2 擠
uykv 擺
sin 註
sinw 註
yfc2 農
zmfd2 銅
zyuc2 鏈
oiiw 顯
vfoc 飄
fyzd2 禮
vot 腦
votb 腦
sans2 訊
mwyc2 輝
nmzk3 騎
fdvo2 贏
jopd2 側
kyg 澤
kygg 澤
slnd2 諾
dtdk2 呂
kgyx 涼
myn 獨
mync 獨
efd 窩
efdk 窩
xxob2 賴
zqpo 鑽
tjab 陰
ofx 鳳
ofxn 鳳
qeya 鹽
dfsw 噸
xah 慶
xahh 慶
ibjs2 緣
pfau 舉
lba 蕭
lbaa 蕭
pgw 衛
soc2 訓
npyc2 載
ninw2 駐
jmd 倉
jmdk 倉
ldds 勸
rpc2 帳
imjr2 納
sqpo 讚
zdk 釦
zqa 盧
zqam 盧
ob2 貝
oqf 購
oqfg 購
zns2 針
jwh 優
jwhh 優
dmju 吶
dnlo2 噴
hou 導
houk 導
ubwr 掃
zcy2 虛
str 託
strq 託
qeq2 飲
vzoj2 凱
hty 懷
htyk 懷
uofe 揚
ltil 薩
opp 賤
oppg 賤
zidl 鐘
jgt 儀
jgtp 儀
tmdd 喬
eax 欄
eaxh 欄
ihwb2 終
ontp2 財
tto 質
ttob 質
oqor3 賭
ckqu 遲
